DATE_TIME,PLANT_ID,SOURCE_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
18-06-2020 00:00,4135001,1BY6WEcLGh8j5v7,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,1IF53ai7Xc0U56Y,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,3PZuoBAID5Wc2HD,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,7JYdWkrLSPkdwr4,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,McdE0feGgRqW7Ca,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,VHMLBKoKgIrUVDU,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,WRmjgnKYAwPKWDb,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,ZnxXDlPa8U1GXgE,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,ZoEaEvLYb1n2sOq,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,adLQvlD726eNBSB,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,bvBOhCH3iADSZry,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,iCRJl6heRkivqQ3,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,ih0vzX44oOqAx2f,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,pkci93gMrogZuBj,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,rGa61gmuvPhdLxV,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,sjndEbLyjtCKgGv,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,uHbuxQJl8lW7ozc,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,wCURE6d3bPkepu2,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,z9Y9gH1T5YWrNuG,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,zBIq5rxdHJRwDNY,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,zVJPv84UY57bAof,25.18431613,22.8575074,0
18-06-2020 00:00,4135001,1BY6WEcLGh8j5v7,25.08458867,22.76166787,0
18-06-2020 00:15,4135001,1IF53ai7Xc0U56Y,25.08458867,22.76166787,0
18-06-2020 00:15,4135001,3PZuoBAID5Wc2HD,25.08458867,22.76166787,0
18-06-2020 00:15,4135001,7JYdWkrLSPkdwr4,25.08458867,22.76166787,0
18-06-2020 00:15,4135001,McdE0feGgRqW7Ca,25.08458867,22.76166787,0
16-06-2020 00:15,4135001,VHMLBKoKgIrUVDU,25.08458867,22.76166787,0
18-06-2020 00:15,4135001,WRmjgnKYAwPKWDb,25.08458867,22.76166787,0
18-06-2020 00:15,4135001,ZnxXDlPa8U1GXgE,25.08458867,22.76166787,0
18-06-2020 00:15,4135001,ZoEaEvLYb1n2sOq,25.08458867,22.76166787,0
18-06-2020 00:15,4135001,adLQvlD726eNBSB,25.08458867,22.76166787,0
18-06-2020 00:15,4135001,bvBOhCH3iADSZry,25.08458867,22.76166787,0
18-06-2020 00:15,4135001,iCRJl6heRkivqQ3,25.08458867,22.76166787,0
18-06-2020 00:15,4135001,ih0vzX44oOqAx2f,25.08458867,22.76166787,0
18-06-2020 00:15,4135001,pkci93gMrogZuBj,25.08458867,22.76166787,0
